,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
0,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,audio_features,1ZMiCix7XSAbfAJlEZWMCp,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,https://api.spotify.com/v1/tracks/1ZMiCix7XSAbfAJlEZWMCp,https://api.spotify.com/v1/audio-analysis/1ZMiCix7XSAbfAJlEZWMCp,240133,4,sad
1,0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355,audio_features,55Am8neGJkdj2ADaM3aw5H,spotify:track:55Am8neGJkdj2ADaM3aw5H,https://api.spotify.com/v1/tracks/55Am8neGJkdj2ADaM3aw5H,https://api.spotify.com/v1/audio-analysis/55Am8neGJkdj2ADaM3aw5H,208827,4,sad
2,0.559,0.422,11,-11.89,1,0.195,0.701,1.99e-06,0.0853,0.191,74.002,audio_features,0Eqg0CQ7bK3RQIMPw1A7pl,spotify:track:0Eqg0CQ7bK3RQIMPw1A7pl,https://api.spotify.com/v1/tracks/0Eqg0CQ7bK3RQIMPw1A7pl,https://api.spotify.com/v1/audio-analysis/0Eqg0CQ7bK3RQIMPw1A7pl,286928,4,sad
3,0.558,0.361,9,-8.346,1,0.0328,0.754,0.0,0.0926,0.165,95.161,audio_features,0NyRSfiU6ri61vku1xiLoD,spotify:track:0NyRSfiU6ri61vku1xiLoD,https://api.spotify.com/v1/tracks/0NyRSfiU6ri61vku1xiLoD,https://api.spotify.com/v1/audio-analysis/0NyRSfiU6ri61vku1xiLoD,266926,4,sad
4,0.481,0.267,7,-9.249,1,0.0339,0.8,0.0,0.249,0.137,117.64,audio_features,4WzhjxvLP95y7AMDy0Atwb,spotify:track:4WzhjxvLP95y7AMDy0Atwb,https://api.spotify.com/v1/tracks/4WzhjxvLP95y7AMDy0Atwb,https://api.spotify.com/v1/audio-analysis/4WzhjxvLP95y7AMDy0Atwb,227693,3,sad
5,0.405,0.279,10,-8.099,1,0.0334,0.881,0.0,0.0933,0.256,119.85,audio_features,21dpBHPTV7ythCHBI6Slcw,spotify:track:21dpBHPTV7ythCHBI6Slcw,https://api.spotify.com/v1/tracks/21dpBHPTV7ythCHBI6Slcw,https://api.spotify.com/v1/audio-analysis/21dpBHPTV7ythCHBI6Slcw,303653,4,sad
6,0.589,0.242,6,-10.517,1,0.0442,0.914,0.0,0.0887,0.257,89.749,audio_features,4VuS959DSpr82t3qBqCrWG,spotify:track:4VuS959DSpr82t3qBqCrWG,https://api.spotify.com/v1/tracks/4VuS959DSpr82t3qBqCrWG,https://api.spotify.com/v1/audio-analysis/4VuS959DSpr82t3qBqCrWG,221107,4,sad
7,0.736,0.308,4,-7.83,1,0.0677,0.946,0.0,0.186,0.361,111.202,audio_features,4Of7rzpRpV1mWRbhp5rAqG,spotify:track:4Of7rzpRpV1mWRbhp5rAqG,https://api.spotify.com/v1/tracks/4Of7rzpRpV1mWRbhp5rAqG,https://api.spotify.com/v1/audio-analysis/4Of7rzpRpV1mWRbhp5rAqG,220492,4,sad
8,0.361,0.311,2,-11.748,0,0.0369,0.872,0.0,0.0987,0.323,89.362,audio_features,6nat4Z7iRKWVk1qngQqI0Q,spotify:track:6nat4Z7iRKWVk1qngQqI0Q,https://api.spotify.com/v1/tracks/6nat4Z7iRKWVk1qngQqI0Q,https://api.spotify.com/v1/audio-analysis/6nat4Z7iRKWVk1qngQqI0Q,212773,4,sad
9,0.481,0.228,8,-13.121,0,0.0315,0.841,0.0,0.111,0.178,110.065,audio_features,4nZuAXizKLpZBBsklMIu0F,spotify:track:4nZuAXizKLpZBBsklMIu0F,https://api.spotify.com/v1/tracks/4nZuAXizKLpZBBsklMIu0F,https://api.spotify.com/v1/audio-analysis/4nZuAXizKLpZBBsklMIu0F,294545,4,sad
10,0.592,0.28,4,-5.494,1,0.0283,0.889,0.0,0.124,0.348,141.899,audio_features,6HbI4e2Y2f6HYVV6r04M4W,spotify:track:6HbI4e2Y2f6HYVV6r04M4W,https://api.spotify.com/v1/tracks/6HbI4e2Y2f6HYVV6r04M4W,https://api.spotify.com/v1/audio-analysis/6HbI4e2Y2f6HYVV6r04M4W,271800,4,sad
11,0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,audio_features,0NlGoUyOJSuSHmngoibVAs,spotify:track:0NlGoUyOJSuSHmngoibVAs,https://api.spotify.com/v1/tracks/0NlGoUyOJSuSHmngoibVAs,https://api.spotify.com/v1/audio-analysis/0NlGoUyOJSuSHmngoibVAs,305747,3,sad
12,0.455,0.292,0,-6.792,1,0.0563,0.889,0.0,0.106,0.43,84.339,audio_features,7sTtHHrD0zDpmzQzH3zegz,spotify:track:7sTtHHrD0zDpmzQzH3zegz,https://api.spotify.com/v1/tracks/7sTtHHrD0zDpmzQzH3zegz,https://api.spotify.com/v1/audio-analysis/7sTtHHrD0zDpmzQzH3zegz,178467,5,sad
13,0.41,0.462,8,-7.534,1,0.0515,0.5,0.0,0.0975,0.354,139.861,audio_features,3ioJ2eGWcONEvna37MpsiE,spotify:track:3ioJ2eGWcONEvna37MpsiE,https://api.spotify.com/v1/tracks/3ioJ2eGWcONEvna37MpsiE,https://api.spotify.com/v1/audio-analysis/3ioJ2eGWcONEvna37MpsiE,191308,3,sad
14,0.552,0.603,8,-5.71,1,0.0334,0.199,0.0,0.151,0.231,139.908,audio_features,0aPZbnkMoWJaJ5CNVLCj8S,spotify:track:0aPZbnkMoWJaJ5CNVLCj8S,https://api.spotify.com/v1/tracks/0aPZbnkMoWJaJ5CNVLCj8S,https://api.spotify.com/v1/audio-analysis/0aPZbnkMoWJaJ5CNVLCj8S,232720,4,sad
15,0.439,0.153,1,-8.95,1,0.0479,0.874,0.0,0.107,0.104,116.76,audio_features,4L2K7JKseFCBoHMZEAszW0,spotify:track:4L2K7JKseFCBoHMZEAszW0,https://api.spotify.com/v1/tracks/4L2K7JKseFCBoHMZEAszW0,https://api.spotify.com/v1/audio-analysis/4L2K7JKseFCBoHMZEAszW0,287693,3,sad
16,0.455,0.296,2,-8.513,1,0.0399,0.761,0.0,0.0783,0.31,171.744,audio_features,555CH6CnGJRqO37pqA30vW,spotify:track:555CH6CnGJRqO37pqA30vW,https://api.spotify.com/v1/tracks/555CH6CnGJRqO37pqA30vW,https://api.spotify.com/v1/audio-analysis/555CH6CnGJRqO37pqA30vW,208840,4,sad
17,0.443,0.369,9,-9.514,1,0.0441,0.969,0.277,0.638,0.0989,174.107,audio_features,6mORGLOz79w6VsCRLWYYuK,spotify:track:6mORGLOz79w6VsCRLWYYuK,https://api.spotify.com/v1/tracks/6mORGLOz79w6VsCRLWYYuK,https://api.spotify.com/v1/audio-analysis/6mORGLOz79w6VsCRLWYYuK,208212,3,sad
18,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,audio_features,3VlbOrM6nYPprVvzBZllE5,spotify:track:3VlbOrM6nYPprVvzBZllE5,https://api.spotify.com/v1/tracks/3VlbOrM6nYPprVvzBZllE5,https://api.spotify.com/v1/audio-analysis/3VlbOrM6nYPprVvzBZllE5,201000,4,sad
19,0.397,0.303,1,-10.413,1,0.11,0.798,4.16e-06,0.0824,0.17,170.22,audio_features,0STK94RxUulYqWzwFlyAb5,spotify:track:0STK94RxUulYqWzwFlyAb5,https://api.spotify.com/v1/tracks/0STK94RxUulYqWzwFlyAb5,https://api.spotify.com/v1/audio-analysis/0STK94RxUulYqWzwFlyAb5,197893,3,sad
20,0.453,0.209,11,-11.917,1,0.223,0.587,0.0,0.119,0.216,169.316,audio_features,49MMefftWPcltNP4OOJGSs,spotify:track:49MMefftWPcltNP4OOJGSs,https://api.spotify.com/v1/tracks/49MMefftWPcltNP4OOJGSs,https://api.spotify.com/v1/audio-analysis/49MMefftWPcltNP4OOJGSs,237020,4,sad
21,0.553,0.586,11,-6.319,1,0.0362,0.697,0.0,0.0813,0.443,126.684,audio_features,3EPXxR3ImUwfayaurPi3cm,spotify:track:3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm,196373,4,sad
22,0.57,0.519,5,-5.671,1,0.0309,0.733,0.0,0.139,0.24,139.701,audio_features,6Pce5yn5oOSDB6hZm8Ou2U,spotify:track:6Pce5yn5oOSDB6hZm8Ou2U,https://api.spotify.com/v1/tracks/6Pce5yn5oOSDB6hZm8Ou2U,https://api.spotify.com/v1/audio-analysis/6Pce5yn5oOSDB6hZm8Ou2U,212933,4,sad
23,0.389,0.373,6,-5.72,1,0.047,0.928,0.0,0.146,0.283,90.289,audio_features,3ArYVrRb0lDBLzuJJqIXzC,spotify:track:3ArYVrRb0lDBLzuJJqIXzC,https://api.spotify.com/v1/tracks/3ArYVrRb0lDBLzuJJqIXzC,https://api.spotify.com/v1/audio-analysis/3ArYVrRb0lDBLzuJJqIXzC,254507,4,sad
24,0.377,0.595,3,-5.936,1,0.0489,0.303,0.0,0.095,0.264,144.464,audio_features,0cj2joJcY6b4XSRfj2eZOl,spotify:track:0cj2joJcY6b4XSRfj2eZOl,https://api.spotify.com/v1/tracks/0cj2joJcY6b4XSRfj2eZOl,https://api.spotify.com/v1/audio-analysis/0cj2joJcY6b4XSRfj2eZOl,290900,4,sad
25,0.498,0.104,1,-14.08,0,0.0621,0.979,7.86e-05,0.0895,0.205,124.001,audio_features,14JzyD6FlBD5z0wV5P07YI,spotify:track:14JzyD6FlBD5z0wV5P07YI,https://api.spotify.com/v1/tracks/14JzyD6FlBD5z0wV5P07YI,https://api.spotify.com/v1/audio-analysis/14JzyD6FlBD5z0wV5P07YI,199931,3,sad
26,0.594,0.497,2,-5.26,1,0.0303,0.0343,0.0,0.162,0.101,101.668,audio_features,0dIOvducp7ujHTqj66cQ3X,spotify:track:0dIOvducp7ujHTqj66cQ3X,https://api.spotify.com/v1/tracks/0dIOvducp7ujHTqj66cQ3X,https://api.spotify.com/v1/audio-analysis/0dIOvducp7ujHTqj66cQ3X,237248,4,sad
27,0.56,0.315,10,-8.532,0,0.05,0.734,1.26e-06,0.105,0.138,78.06,audio_features,2BlM00LsKY0pFKEChrQa9Y,spotify:track:2BlM00LsKY0pFKEChrQa9Y,https://api.spotify.com/v1/tracks/2BlM00LsKY0pFKEChrQa9Y,https://api.spotify.com/v1/audio-analysis/2BlM00LsKY0pFKEChrQa9Y,260852,4,sad
28,0.649,0.548,1,-5.692,0,0.0318,0.733,0.0,0.136,0.506,150.036,audio_features,2uaiyLKnYvazyfR0Ky3Kbk,spotify:track:2uaiyLKnYvazyfR0Ky3Kbk,https://api.spotify.com/v1/tracks/2uaiyLKnYvazyfR0Ky3Kbk,https://api.spotify.com/v1/audio-analysis/2uaiyLKnYvazyfR0Ky3Kbk,169181,4,sad
